Content,Content_Length,product_related
The benefits I think we will see from the changes we are making to our reinsurance that I alluded to in my remarks are amounts that we will see flow through in the subsequent five or six quarters. It had very little impact in the first quarter. We will see more of that to come.,55,No
"I would just add one more thing. While we should be taking more risk net as we can certainly handle the volatility, if reinsurance pricing continues to come down, as I said in my opening remarks we are more of a buyer than a seller of reinsurance then we may start buying again. But you can ask me about that later in the year.",64,No
"Ken, I don't have that number at my fingertips, but it is well over $100 million, so we have got more than enough capacity. And I would simply say that the Board has shown a willingness each time we have gotten close to exhausting a prior authorization to renew that authorization.",51,No
"I think the only part of the segment that I didn't reference in my remarks, Bijan, was Trident. Trident's premium was down slightly for the quarter. That is our public entity business. And we didn't see any adverse reserve development from Trident for the quarter. That doesn't mean we won't see any for the rest of the year, but I think we have got it going in the right direction right now. We will know for sure on the first of July because that is the big renewal date for public entities. Many of them buy their insurance on that day. But for the most part I think Commercial Specialty is now heading in the right direction, and our strategy is to keep on executing and staying focused on specific industries that we serve within that segment.",137,Yes
"No, nothing has changed. I have been an investor and member of the Board of Directors of this Company for the last 15 years. I have been running it for the last 14. We have made a dozen acquisitions along the way, and I think we have taken what was a small regional franchise in the U.S. and turned it into an International Specialty company and we still have got a long way to go.",75,No
"So, yes, the -- , production target, [all which we] said introduce the 3D products last quarter, those are the productions targeted for sometime early next year. So --and then, we are not stopping still, like we are also building newer devices, some of them could simply be like a stripped down device, let's say, for the lower end market. Some of them will be newer generation, even more advanced solutions. So as we build more advanced solutions, the price obviously will go up.
 But as we also build lower price market for, let's say, for new generations for either the ultra book that require much lower cost solution those price will be -- designed to be obviously to be lower cost. But the volume will be much higher. So we are -- and those are not cannibalizing the existing market, those will just be addressing new market opportunity. So we feel good that this is a business that we invested properly many, many years earlier, before anybody thought it was important to invest in this area.",177,Yes
"Right. So there will be a lot of, obviously, we are the first to enter -- I mean, the only one still in the Chromecast market. We believe there will be significant opportunities to continue to invest in building more advanced Chromecast devices to address better new generation codec H.2265], VP9s. Okay, so you can think about the Chromecast as the device, like a set-top box, like a micro set-top box, set-top box inside a dongle. So the difference between that versus the real set-top box, the real set-top box will have more memory, little bit more features. And as a result, it is also natural for us to address. That is why when we say we have several design wins on the ARMADA 1500 set-top box SoCs. So this is just actually the same family of products, just one optimized for the dongle, the other one more optimized for the set-top box. So the set-top box, it's a new business for us, but as we have proven to -- as we prove our self to be -- to serve this market we believe in the long run, we could grow this business, as well.",195,Yes
"Yes. Okay. Obviously, the ultra low cost is going to be slightly lower margin than the higher end. That is always going to be the case, but the volumes are going to be so much bigger. But you also need to be -- to put it into perspective, that in the 3G we have a lot more competition today than in the 4G. 4Gs we are talking about something -- just today there is three, three suppliers. So, three suppliers versus more than like six, seven suppliers in the 3G. The market profile is going to be significantly better in the LTE space.",103,Yes
"(Laughter). Yes, I did say that. I did say that $100 million was on the high end, but I still believe it's still on the high end. But nobody knows what is going to happen in December of this year. But based on the rate they are running, I think maybe a little higher than our earlier projection, but -- ?",61,Yes
"Well, the tax rate is affected by releases of accruals, based on reserves that were set up because of liabilities in foreign countries. And when those statutes of limitations and those liabilities expire, it provides a reversal of the reserve. Going forward, we believe the rate is going to be less than 5% for the year, and subject of to these kinds of fluctuations that occur because of accounting reasons.",70,No
"So I think, if we had not spent on TV, most of that money would have dropped to the bottom line. We already spend in our other channels at a pretty aggressive rate. So certainly we could have used those dollars to -- we could have used the dollars to spend at a loss in other channels, but that would be contrary to the direction that we always head.",69,No
"Sure. I will start.
 We generally consider the traffic to our site to be about half and half. Half hotel shoppers, half looking to either plan the rest of the trip or looking around at what to do or where to eat locally. So I think about half and half. We already shared the 2 billion unique visitor number that Google Analytics reports.",63,Yes
"Yes. And it's whether they are landing on the meta-search pages, or frankly anywhere on the site, we made some nice progress in getting travelers to move down the funnel to both check more prices on properties, as well as follow through and to actually click through to our clients.
 One of the things that we theorize on the backs of increased CPC from our clients, is that the leads that we are sending folks, as of now, is better. They are more valuable than the leads we might've been sending them six months ago based upon the work that the team has done on the site. So a more qualified visitor leads TripAdvisor further down the buying cycle in their minds. So when they land on a partner site, they are more likely to finish the transaction.
 We also just have a lot more, or many more, clients who are active in the auction on many of our different points of sale. So that extra competition, I'm sure, has played a part in the price increases that we've seen recently.",181,Yes
"It is certainly a fair point. That would certainly account for a bit. Again the factors in there are the amount of our mobile usage app versus web, and the timing over which people move from the partial native app to the full native app. We need to go back and look at that.
 When we report over Q1, as we will have had a full quarter of fully native, I think we will have a bunch of that tracked at that point. And will be a great question to revisit. But short answer, I think you are right. We're missing some hotel shoppers in that number there.",108,Yes
"Great question. As we look at that, it does include shoppers on the TripAdvisor mobile website. But due to essentially, some challenges around the moving from -- how to explain it -- we had, over the course of the year, a native app that was partially what's called a web view. So it uses some webpages as part of the app, and so those would be counted, naturally, I believe, as part of the hotel shopper metric.
 When we launched the full native app for those that downloaded the full native app, those would not be included in the hotel shopper metrics. Not that they shouldn't be, but because, technically, we are not able to do that at this moment in time. Hotel shoppers also don't include our hotel shoppers on daodao, our China website. They don't include to the best of my recollection, our native shoppers on Android, as well as iPhone.",153,Yes
"So we've drawn down 10.25 -- sorry, the warrants that have been issued, 6.25 million on the consummation of the deal, and 4 million on the $20 million drawdown. So there are 10 million warrants that are associated with the Company's ability to draw down up to $50 million. So we drew down $20 million for the first tranche, so it's essentially 40% of the 10 million, so that's how we came up with the 4 million warrants that we now consider the draw warrants. So 10.25 million warrants valued at the end of March 31 actually at $10.4 million so we had a slight charge in the P&amp;L.",109,No
"Yes. So the state mandatory reimbursement reduction was part of the Japanese plan from the beginning of the year and is still a part of the Japanese plan as we go forward. So obviously the kind of growth that we saw in Q1 will moderate, I think, as the year progresses so we need to factor that in.
 Overall, if you can strip away the French commercial restructuring which was about $5.5 million to $6.5 million year-over-year, we're seeing improvements in our core European businesses, and frankly we're looking forward to registration approvals in China and Brazil for the Alphatec products that we think provide some upside to our plan. They're not built into the plan right now. So I feel pretty good that the international team is focused. We're focusing on some of our core markets, and we're deploying the Alphatec business into those markets. I think probably, of note, all of our shipments, [Syotec] and Alphatec products, now come from Carlsbad. So Mike Plunkett's team has complete responsibility for global shipments now, and we've executed that transition pretty much flawlessly from a customer service perspective. So I feel pretty good that international's performing well.",196,Yes
"I definitely would say we probably saw more reimbursement pushbacks in lumbar in Q1 than we did on the cervical side. I think there's been some pushback on the cervical side for the peak interbodies as opposed to the biologics. So we definitely felt some of that. So I guess internally, we tend to look at cervical as a higher growth category than lumbar. But having said that, when you're introducing products like Solus for a company our size, the newer technologies tend to make more of a difference. So we may not really be a proxy for the category given some of the focuses of the new products.",109,Yes
"I mean, we're into the [bone rate] on development for our Pedicle screw system, so I'm not capitalizing beta sets because there's a high likelihood that they're going to modified and revised. So it's a little high right now in the first half of the year. As we get through some of that understanding, it will moderate in the back half of the year.",64,Yes
"Yes. Absolutely. So biologics, obviously in the first quarter felt the impact of the discontinuation of PureGen. Actually they're performing well through their internal plan. They've added a ProFuse chip product to the line which is really accelerating the ProFuse growth. Corex is certainly opening some doors for the biologic group so it will continue to grow.
 The products that you're going to see coming out in the first half of the year are really going to be our new medical screw system -- sorry, the second half of the year. But that is a complete system that will do [degeneration], the entire work, so that's pretty exciting.
 AutoLock which was the Phygen patented screw system will be coming out. But really, we'll be expanding around the ILLICO system of minimally-invasive surgery in the second half of the year once we get the Pedicle screw system out.",147,Yes
"Kevin, we talked about seeing as a company with a weaker mix of business a little different -- margins get perturbed a little bit, because metals over time is -- you don't typically make margin on metals. But we have seen in the mid double digits 13 to 15. That was back in the '96, '97 timeframe. With a little higher metals and maybe less ebullient (ph) times, I would certainly hope that we would target more than doubling where we currently are. So that would say that you would hope deep in the cycle when you begin to get the raw materials to stabilize, or maybe even break off a little bit, that we would see the high single digits and above that. In some of our businesses we're already operating in those levels, and I think that's -- for my own view, and certainly from my team, that is where we're headed. But we are not going to put a set piece forecast on that. I think we have the ability to see that again, which is obviously very powerful in terms of the earnings side of this thing as we get deeper into the cycle.",198,Yes
